分类: ☘️湖北频道, 名称: 潜江综合, 总数: 2, 有效: 1, 有效率: 50.00%, IPv4: 2, IPv6: 0, 最小延迟: 1073 ms, 最高速率: 0.60 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080
分类: ☘️湖北频道, 名称: 崇阳综合, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: 7589 ms, 最高速率: 0.47 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️湖北频道, 名称: 荆门新闻综合, 总数: 4, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 3, 最小延迟: 1922 ms, 最高速率: 0.45 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️湖北频道, 名称: 武汉新闻, 总数: 1, 有效: 0, 有效率: 0.00%, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 香港卫视, 总数: 3, 有效: 0, 有效率: 0.00%, IPv4: 2, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 广东卫视, 总数: 109, 有效: 4, 有效率: 3.67%, IPv4: 98, IPv6: 11, 最小延迟: 236 ms, 最高速率: 1.56 M/s, 平均速率: 0.92 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 浙江卫视, 总数: 87, 有效: 1, 有效率: 1.15%, IPv4: 81, IPv6: 6, 最小延迟: 24 ms, 最高速率: 1.55 M/s, 平均速率: 1.55 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 总数: 113, 有效: 3, 有效率: 2.65%, IPv4: 103, IPv6: 10, 最小延迟: 126 ms, 最高速率: 1.51 M/s, 平均速率: 1.06 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 北京卫视, 总数: 100, 有效: 4, 有效率: 4.00%, IPv4: 89, IPv6: 11, 最小延迟: 156 ms, 最高速率: 1.35 M/s, 平均速率: 1.13 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 湖北卫视, 总数: 79, 有效: 2, 有效率: 2.53%, IPv4: 72, IPv6: 7, 最小延迟: 159 ms, 最高速率: 1.19 M/s, 平均速率: 0.97 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 总数: 69, 有效: 4, 有效率: 5.80%, IPv4: 63, IPv6: 6, 最小延迟: 20 ms, 最高速率: 1.55 M/s, 平均速率: 0.79 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 总数: 77, 有效: 2, 有效率: 2.60%, IPv4: 70, IPv6: 7, 最小延迟: 114 ms, 最高速率: 1.35 M/s, 平均速率: 1.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 总数: 69, 有效: 1, 有效率: 1.45%, IPv4: 60, IPv6: 9, 最小延迟: 19 ms, 最高速率: 0.86 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 总数: 63, 有效: 1, 有效率: 1.59%, IPv4: 56, IPv6: 7, 最小延迟: 20 ms, 最高速率: 0.87 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 总数: 60, 有效: 1, 有效率: 1.67%, IPv4: 52, IPv6: 8, 最小延迟: 21 ms, 最高速率: 0.86 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 总数: 56, 有效: 1, 有效率: 1.79%, IPv4: 48, IPv6: 8, 最小延迟: 132 ms, 最高速率: 1.07 M/s, 平均速率: 1.07 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 总数: 56, 有效: 1, 有效率: 1.79%, IPv4: 50, IPv6: 6, 最小延迟: 165 ms, 最高速率: 1.05 M/s, 平均速率: 1.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 总数: 57, 有效: 3, 有效率: 5.26%, IPv4: 51, IPv6: 6, 最小延迟: 160 ms, 最高速率: 1.22 M/s, 平均速率: 0.94 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 总数: 60, 有效: 3, 有效率: 5.00%, IPv4: 54, IPv6: 6, 最小延迟: 237 ms, 最高速率: 1.42 M/s, 平均速率: 0.87 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 总数: 64, 有效: 2, 有效率: 3.12%, IPv4: 52, IPv6: 12, 最小延迟: 22 ms, 最高速率: 1.17 M/s, 平均速率: 0.88 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 总数: 76, 有效: 6, 有效率: 7.89%, IPv4: 69, IPv6: 7, 最小延迟: 22 ms, 最高速率: 51.60 M/s, 平均速率: 13.83 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 总数: 65, 有效: 2, 有效率: 3.08%, IPv4: 57, IPv6: 8, 最小延迟: 152 ms, 最高速率: 1.40 M/s, 平均速率: 1.13 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 总数: 98, 有效: 2, 有效率: 2.04%, IPv4: 89, IPv6: 9, 最小延迟: 161 ms, 最高速率: 4.57 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 总数: 71, 有效: 3, 有效率: 4.23%, IPv4: 64, IPv6: 7, 最小延迟: 156 ms, 最高速率: 1.25 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 总数: 65, 有效: 2, 有效率: 3.08%, IPv4: 56, IPv6: 9, 最小延迟: 132 ms, 最高速率: 1.36 M/s, 平均速率: 1.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 总数: 35, 有效: 1, 有效率: 2.86%, IPv4: 30, IPv6: 5, 最小延迟: 125 ms, 最高速率: 0.71 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 总数: 40, 有效: 2, 有效率: 5.00%, IPv4: 34, IPv6: 6, 最小延迟: 153 ms, 最高速率: 1.32 M/s, 平均速率: 1.04 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 总数: 45, 有效: 1, 有效率: 2.22%, IPv4: 39, IPv6: 6, 最小延迟: 151 ms, 最高速率: 0.76 M/s, 平均速率: 0.76 M/s, 最高分辨率: 1920x1080
